ID,Language,Dataset,Modality,Use,Features,Source Paper,Dataset Access,Cited By
5627,Indonesian,ID Multilabel HS,Text,Classification,"The 'ID Multilabel HS' dataset is used to detect multi-label hate speech and abusive language in Indonesian Twitter. Research focuses on classification and annotation methodologies, employing machine learning techniques to identify and categorize various forms of offensive content. This dataset enables researchers to develop and evaluate models that can accurately classify multiple types of hate speech, enhancing the understanding and management of abusive language in social media.",https://doi.org/10.18653/v1/W19-3506 (2019),,https://doi.org/10.48550/arXiv.2212.09648 (2022)
5629,Indonesian,ID Stance,Text,Sentiment Analysis,"The ID Stance dataset is used to classify stances towards political figures in blog writing, specifically by analyzing Kompasiana articles that mention predefined Indonesian politicians. The dataset supports research in sentiment and opinion analysis, employing methods to categorize stances expressed in the articles. This enables detailed examination of public opinions and sentiments towards specific political figures.; The ID Stance dataset is used to classify stances towards political figures in blog writing, specifically by analyzing Kompasiana articles. It supports research in sentiment and opinion analysis, focusing on detecting stances towards predefined Indonesian politicians. The dataset enables researchers to employ classification methodologies to understand public opinions and sentiments expressed in online articles.",https://doi.org/10.1109/IALP.2018.8629144 (2018),,https://doi.org/10.48550/arXiv.2212.09648 (2022)
5631,Indonesian,ID-WOZ,Speech,Dialogue Modeling,"The ID-WOZ dataset is primarily used for task-oriented dialogue modeling in the Indonesian language, focusing on domains such as restaurants, hotels, taxis, attractions, police, hospitals, planes, movies, and wear. It is employed to conduct extensive experiments on dialogue system performance, intention classification, and slot-filling tasks. The dataset is often compared with MultiWOZ and other local datasets to evaluate model effectiveness in both low-resource and culturally specific contexts. It supports the adaptation and evaluation of dialogue models in the Indonesian language, enhancing their performance in multi-domain scenarios.",,,https://doi.org/10.1155/2022/8407713 (2022); https://doi.org/10.1145/3575803 (2022)
a5585,Indonesian,IDK-MRC,Unknown,Not specified,No feature description available.,https://doi.org/10.18653/v1/2022.emnlp-main.465 (2022),https://github.com/rifkiaputri/IDK-MRC,https://doi.org/10.48550/arXiv.2310.04928 (2023)
5626,Indonesian,IDK-MRC test set,Text,Question Answering,"The IDK-MRC dataset is primarily used to evaluate machine reading comprehension (MRC) models in Indonesian, focusing on both answerable and unanswerable questions. It is applied to assess the models' ability to handle complex and factual questions over news and Wikipedia documents, as well as to conduct unanswerability error analysis. This dataset enables researchers to test and improve the performance of question-answering systems, particularly in handling unanswerable queries and cross-lingual generalization.; The IDK-MRC test set is used to evaluate machine reading comprehension models on Indonesian text, focusing on both answerable and unanswerable questions. It enables researchers to assess model performance and conduct unanswerability error analysis, specifically in the context of handling unanswerable questions in Indonesian language models. This dataset provides a standardized test set for evaluating and improving the capabilities of machine reading comprehension systems in handling unanswerability.","https://doi.org/10.48550/arXiv.2210.13778 (2022), https://doi.org/10.18653/v1/2020.acl-main.442 (2020)",https://github.com/rifkiaputri/IDK-MRC,https://doi.org/10.48550/arXiv.2310.04928 (2023); https://doi.org/10.48550/arXiv.2210.13778 (2022); https://doi.org/10.1109/ICAICTA59291.2023.10390123 (2023); https://doi.org/10.48550/arXiv.2212.09648 (2022)
5628,Indonesian,IDN Tagged Corpus,Text,Parsing and Tagging,"The IDN Tagged Corpus is primarily used for training and evaluating part-of-speech (POS) taggers for Indonesian. It contains manually labeled tokens ranging from 14,165 to 355,000, which are utilized to develop and assess rule-based, bidirectional LSTM, and CRF models. This dataset serves as a standard resource in Indonesian language research, enabling the comparison of different tagging methods and focusing on metrics such as F1 scores and POS tagging accuracy.",https://doi.org/10.1109/IALP.2014.6973521 (2014),https://github.com/famrashel/idn-tagged-corpus,https://doi.org/10.26418/jlk.v2i2.20 (2019)
5814,Indonesian,idner-news-2k,Text,Named Entity Recognition,"The Standardized Dataset on Indonesian Named Entity Recognition is used to develop and evaluate named entity recognition models specifically for the Indonesian language. It focuses on standardizing annotations to improve model performance. This dataset enables researchers to address the challenge of consistent annotation standards, enhancing the accuracy and reliability of NER models in Indonesian language processing tasks.",https://www.semanticscholar.org/paper/574453271bf9dbce7df005e9e1c2e0bb77eb1c6d (2018),https://github.com/khairunnisaor/idner-news-2k,https://doi.org/10.1186/s40537-024-00987-6 (2024)
5633,Indonesian,INARTE,Text,Parsing and Tagging,"The INARTE dataset is used to train and evaluate natural language inference models in Indonesian, focusing on textual entailment recognition. It contains 10,000 sentence pairs for various NLP tasks, enabling researchers to assess model accuracy in understanding and reasoning about textual relationships. Studies employ this dataset to improve and test the performance of models in recognizing entailment, contributing to advancements in Indonesian NLP.; The INARTE dataset is used to evaluate textual entailment models on Indonesian data, primarily from Wikipedia. It includes a larger set of approximately 1.5k example pairs and a smaller set of 400 pairs, both with binary labels. Researchers use this dataset to assess model performance and explore semi-supervised methods for enhancing entailment recognition.","https://doi.org/10.1109/ICSTC.2018.8528283 (2018), https://doi.org/10.1007/978-3-031-23793-5_34 (2018)",,https://doi.org/10.1016/j.dib.2023.109998 (2023); https://doi.org/10.18653/v1/2021.emnlp-main.821 (2021)
5821,Indonesian,IndoAbbr,Text,Parsing and Tagging,"The dataset, containing 42,207 abbreviations from Indonesian news media, is used to train and evaluate abbreviation identification algorithms. It enhances models' ability to recognize and expand abbreviations in Indonesian text, specifically addressing the challenge of abbreviation handling in news articles. This dataset supports research in natural language processing, focusing on improving the accuracy and reliability of abbreviation recognition systems in Indonesian language contexts.",https://doi.org/10.1109/IALP51396.2020.9310514 (2020),,
5637,Indonesian,IndoBERTweet,Text,Pretraining,"The IndoBERTweet dataset is used to train a pretrained language model specifically tailored for Indonesian Twitter data. It focuses on initializing domain-specific vocabulary effectively to enhance the model's performance on Indonesian tweets. This dataset enables researchers to address challenges unique to Indonesian social media content, improving the accuracy and relevance of natural language processing tasks in this domain.",https://doi.org/10.18653/v1/2020.emnlp-demos.2 (2020),https://github.com/indolem/IndoBERTweet,https://doi.org/10.14569/ijacsa.2023.0141053 (2023)
5635,Indonesian,IndoLem,Text,Pre-training,"The Indo4B Indonesian corpus is used for pre-training the indoBERT model, specifically to enhance performance in Indonesian NLP tasks. This involves leveraging large-scale language data to improve the model's capabilities in handling Indonesian-specific linguistic challenges. The dataset's extensive size and focus on Indonesian content enable researchers to develop more effective and contextually accurate NLP models for Indonesian applications.",https://doi.org/10.18653/V1/2020.COLING-MAIN.66 (2020),https://indolem.github.io/,https://doi.org/10.23887/janapati.v12i2.62582 (2023)
5639,Indonesian,IndoLEM sentiment,Text,Sentiment Analysis,"The IndoLEM sentiment dataset is primarily used for sentiment and emotion analysis in the Indonesian language, drawing data from Twitter and hotel reviews. It is employed to train and evaluate models on sentiment and emotion classification, contributing to the development and benchmarking of Indonesian NLP models. The dataset includes 5048 sentiment-labeled and 4401 emotion-labeled samples, enhancing the robustness and performance of these models in understanding and classifying emotional and sentiment content in Indonesian text.",https://doi.org/10.1109/IALP.2017.8300625 (2017),https://github.com/indolem/indolem,https://doi.org/10.48550/arXiv.2309.10661 (2023)
5640,Indonesian,IndoMMLU,Text,Evaluation and Assessment,"The IndoMMLU dataset is used to evaluate the performance of models across various educational and cultural tasks in Indonesia. It assesses problem-solving skills, language understanding, and the impact of safety fine-tuning on downstream tasks such as career-related and primary school exams. The dataset follows the format of English MMLU and is employed to investigate educational assessment and cultural aspects through exam questions, enabling researchers to analyze the effectiveness of fine-tuned models in an Indonesian context.",https://doi.org/10.18653/v1/2020.emnlp-main.700 (2020),https://huggingface.co/datasets/indolem/IndoMMLU,https://doi.org/10.48550/arXiv.2310.04928 (2023); https://doi.org/10.15587/1729-4061.2024.309972 (2024); https://doi.org/10.48550/arXiv.2506.02573 (2025)
5645,Indonesian,Indonesia Named Entity Recognition (NER) dataset,Text,Named Entity Recognition,"The Indonesia Named Entity Recognition (NER) dataset is used to categorize formal type sentences in Indonesian, specifically focusing on named entity recognition within the context of Indonesian language processing. This dataset enables researchers to develop and evaluate NER models tailored for the Indonesian language, enhancing the accuracy of identifying and classifying named entities in formal Indonesian text.",https://doi.org/10.1109/IC2IE60547.2023.10331336 (2023),,
5657,Indonesian,Indonesia news online dataset,Text,Entity Recognition,"The Indonesia news online dataset is used to extract location entities from Indonesian online news articles about forest fires. Researchers employ bidirectional LSTM-CNNs for entity recognition, leveraging the dataset's textual content to identify and locate geographical references related to forest fire incidents. This methodology aids in understanding the spatial distribution and impact of forest fires as reported in the media.",https://doi.org/10.34123/SEMNASOFFSTAT.V2020I1.601 (2021),,https://doi.org/10.1109/ICERA66156.2025.11087367 (2025)
5642,Indonesian,Indonesia-English code-mixed Tweets,Text,Hate Speech Detection,"The 'Indonesia-English code-mixed Tweets' dataset is utilized for normalizing and detecting multi-label hate speech and abusive language in code-mixed content. Research focuses on the linguistic and contextual aspects of mixed-language tweets, employing methods to normalize the data and identify abusive language. This dataset enables detailed analysis of code-mixed language in social media, enhancing understanding of linguistic characteristics and the prevalence of hate speech in Indonesian-English tweets.; The Indonesia-English code-mixed Tweets dataset is primarily used for detecting and normalizing multi-label hate speech and abusive language in Indonesian-English mixed content on Twitter. Researchers employ this dataset for collecting and classifying tweets, focusing on linguistic and contextual aspects to improve normalization techniques and enhance multi-label classification models. This dataset supports studies on code-mixed language in social media, addressing specific challenges in hate speech and abusive language detection.",https://doi.org/10.1109/I2CT57861.2023.10126234 (2023),,
5660,Indonesian,Indonesian (IND),Text,Morphological Segmentation,"The Indonesian (IND) dataset is used to train and evaluate morphological segmentation models. It consists of 8000 training, 1000 development, and 1000 test examples, enabling researchers to develop and assess algorithms that accurately segment words into their constituent morphemes. This dataset supports research focused on improving natural language processing techniques for the Indonesian language.",https://doi.org/10.18653/v1/P16-1156 (2016),https://www.repository.cam.ac.uk/items/ed4a71ef-7c11-4958-ae34-4fb1cde891e2/full,https://doi.org/10.18653/v1/2020.emnlp-main.423 (2020)
5663,Indonesian,Indonesian - Lampung Nyo corpus,Text,Lexicon/Dictionary,"The Indonesian - Lampung Nyo corpus is used to construct a parallel corpus from Lampung language books for elementary and junior high school levels, specifically focusing on the Lampung Nyo dialect. This dataset enables researchers to develop educational materials and linguistic resources, supporting the preservation and teaching of the Lampung Nyo dialect.",https://doi.org/10.1088/1742-6596/1751/1/012036 (2021),https://huggingface.co/datasets/SEACrowd/parallel_id_nyo,https://doi.org/10.48550/arXiv.2212.09648 (2022)
5646,Indonesian,Indonesian and English dataset,Text,Language Understanding and Generation,"The Indonesian and English dataset is used to pretrain Transformer models for multilingual tasks, specifically focusing on enhancing language understanding and generation capabilities in Indonesian. This dataset enables researchers to develop models that can effectively process and generate text in both languages, contributing to advancements in multilingual natural language processing.",https://www.semanticscholar.org/paper/a70fd36953d654cd585046c43815fa9ce5187172 (2020),https://github.com/gunnxx/indonesian-mt-data,
5648,Indonesian,Indonesian Common Crawl (CC-ID),Text,Word Embeddings/Text Classification,"The Indonesian Common Crawl (CC-ID) dataset is primarily used to train fastText models for word embeddings, specifically focusing on the Indonesian language. These models are employed to enhance performance in Indonesian text classification tasks and to conduct large-scale self-supervised learning. The dataset facilitates comparisons between different training approaches, enabling researchers to evaluate and improve model effectiveness in handling Indonesian text data.; The Indonesian Common Crawl (CC-ID) dataset is used to train fastText models for word embeddings, specifically focusing on the Indonesian language. It serves as a benchmark to evaluate and compare model performance in Indonesian text classification tasks. The dataset provides a large-scale resource that enhances the accuracy and effectiveness of these models, facilitating advancements in Indonesian language processing.",https://www.semanticscholar.org/paper/5feb32a73dd1bd9e13f84a7b3344497a5545106b (2016),https://data.statmt.org/cc-100/,https://doi.org/10.18653/v1/2020.aacl-main.85 (2020)
5649,Indonesian,Indonesian Corpora for Automatic Abstractive and Extractive Chat Summarization,Text,Summarization,"The Indonesian Corpora for Automatic Abstractive and Extractive Chat Summarization dataset is used to develop and evaluate summarization systems for the Indonesian language, focusing on both abstractive and extractive techniques. It is applied to conversational data from WhatsApp and online news content, supporting research into summarization models tailored for Indonesian linguistic structures. This dataset enables the creation and assessment of chat and news summarization models, enhancing the accuracy and relevance of summaries in Indonesian.",https://www.semanticscholar.org/paper/e0e68cedb8d1cd2643da97fe223b096ad851aa4c (2016),,https://doi.org/10.1080/09540091.2021.1937942 (2021); https://doi.org/10.15676/ijeei.2021.13.4.10 (2021)
5653,Indonesian,Indonesian emotion classification dataset,Text,Sentiment Analysis,"The Indonesian emotion classification dataset is used to classify emotions in Indonesian colloquial language tweets, focusing on five distinct emotional categories. Collected from Twitter over two weeks in June 2018, the dataset enables researchers to analyze and categorize emotional content in social media posts, employing methods tailored to the nuances of informal online communication. This supports research into sentiment analysis and emotional expression in digital contexts.",https://doi.org/10.1109/IALP.2018.8629262 (2018),https://github.com/meisaputri21/Indonesian-Twitter-Emotion-Dataset,https://doi.org/10.1109/ACCESS.2024.3402809 (2024)
5654,Indonesian,Indonesian Emotion Words List,Text,Sentiment Analysis,"The Indonesian Emotion Words List dataset is used to classify and analyze 94 Indonesian emotion words into five main categories: love, joy, anger, sadness, and fear. It supports research on the structure of the Indonesian emotion lexicon by forming significant features in combination with Bag-of-Words and FastText models. This enables detailed analysis of emotional content in Indonesian text, focusing on the presence and distribution of emotion-related words.; The Indonesian Emotion Words List dataset is used to categorize 94 emotion words into five main classes: love, joy, anger, sadness, and fear. It supports research on the structure of the Indonesian emotion lexicon and analyzes the emotional content in Indonesian text by examining the presence and frequency of these emotion-related words in various contexts. This dataset enables detailed studies on emotional expression and categorization in the Indonesian language.",https://doi.org/10.1111/1467-839X.00086 (2001),,https://doi.org/10.1109/IALP.2018.8629262 (2018)
5652,Indonesian,Indonesian Emotional Speech Corpus (IDESC),Speech,Emotion Recognition,"The Indonesian Emotional Speech Corpus (IDESC) is used to enhance emotion recognition in Indonesian television talk shows. It forms the first Indonesian emotional speech corpus, contributing to affective computing by providing essential linguistic resources. The dataset enables researchers to develop and test algorithms for recognizing emotions in spoken language, specifically tailored to the Indonesian context.",https://doi.org/10.1109/SLT.2014.7078619 (2014),,https://doi.org/10.14569/IJACSA.2021.0120422 (2021)
5659,Indonesian,Indonesian Hoax News Detection Dataset,Text,Classification,"The Indonesian Hoax News Detection Dataset is used to train and evaluate machine learning models for detecting fake news in Indonesian-language online media. Research focuses on improving classification accuracy and model performance, utilizing the dataset's specific characteristics to enhance the reliability of fake news detection systems.",https://doi.org/10.1109/ICIMCIS56303.2022.10017528 (2022),,https://doi.org/10.1109/SIML61815.2024.10578272 (2024)
5662,Indonesian,Indonesian Labor Strike Tweets,Text,Named Entity Recognition,"The Indonesian Labor Strike Tweets dataset is used to train and evaluate a supervised entity tagger for named entity recognition in low-resource settings, specifically focusing on labor strike tweets in Indonesian. This dataset enables researchers to improve the accuracy of identifying key entities in tweets related to labor strikes, enhancing the understanding and analysis of social movements and labor dynamics in Indonesia.",https://doi.org/10.1145/2348283.2348380 (2012),,https://doi.org/10.1088/1757-899X/403/1/012067 (2018)
5664,Indonesian,Indonesian language data in the hotel domain,Text,Natural Language Understanding and Generation,"The Indonesian language data in the hotel domain is used to train, validate, and test models on Indonesian language processing tasks. Comprising 5000 texts, the dataset is split into training, validation, and test sets, enabling researchers to develop and evaluate models specifically for the hotel domain. This dataset facilitates the improvement of natural language understanding and generation in Indonesian, focusing on applications such as customer service, review analysis, and automated response systems.",,,https://doi.org/10.1109/ICEEI59426.2023.10346852 (2023)
5665,Indonesian,Indonesian language stop word list,Text,Information Retrieval,"The Indonesian language stop word list is used for stop word removal in the preprocessing phase of text data, specifically to enhance information retrieval tasks. This dataset aids in refining text data by eliminating common words that do not contribute to the meaning, thereby improving the efficiency and accuracy of information retrieval systems.; The Indonesian language stop word list is used for stop word removal in text preprocessing, specifically to enhance the accuracy of information retrieval systems handling Indonesian text. This dataset facilitates the removal of common words that do not contribute to the meaning, improving the efficiency and effectiveness of text analysis in Indonesian language research.",https://www.semanticscholar.org/paper/8ed9c7d54fd3f0b1ce3815b2eca82147b771ca8f (2003),,https://doi.org/10.1109/ICIMCIS56303.2022.10017528 (2022)
5666,Indonesian,Indonesian language trial results documents,Text,Named Entity Recognition,"The Indonesian language trial results documents dataset is used to evaluate the effectiveness of deep learning models, specifically Bi-LSTM and CRF approaches, in recognizing entities within Indonesian court decision documents. This evaluation focuses on the accuracy and performance of these models, providing insights into their applicability for processing legal texts in the Indonesian language.",https://doi.org/10.1109/ICACSIS51025.2020.9263157 (2020),,https://doi.org/10.21456/vol14iss4pp311-320 (2024)
5667,Indonesian,Indonesian Lyrics Dataset (ILD),Text,Information Retrieval,"The Indonesian Lyrics Dataset is used for lyrics classification in Music Information Retrieval, specifically to enhance music genre detection accuracy through feature level fusion. This approach involves combining various features extracted from the lyrics to improve classification performance. The dataset's relevance lies in its ability to provide a rich source of textual data for training and testing machine learning models aimed at genre detection.",https://doi.org/10.1109/ic2ie47452.2019.8940826 (2019),,
5669,Indonesian,Indonesian multi-label hate speech and abusive dataset,Text,Sentiment Analysis,"The Indonesian multi-label hate speech and abusive dataset is used to detect and classify multi-label hate speech and abusive language in Indonesian Twitter and other social media platforms. Machine learning models are employed to address the complexity of overlapping labels, classify various types of offensive content, and analyze linguistic patterns. Research focuses on developing classification and annotation methodologies to improve the detection and understanding of hate speech and abusive language in Indonesian online contexts.",https://doi.org/10.18653/v1/W19-3506 (2019),https://github.com/okkyibrohim/id-multi-label-hate-speech-and-abusive-language-detection,https://www.semanticscholar.org/paper/1ec9cab33a92a80e22ccb49bb1655a9a2342658d (2020)
5670,Indonesian,Indonesian NER corpus,Text,Named Entity Recognition,"The Indonesian NER corpus is used for training and evaluating named entity recognition (NER) models in the Indonesian language. It contains approximately 600 instances and focuses on linguistic, orthographic, and lookup list features. This dataset enables researchers to develop and test NER models, addressing specific challenges in recognizing named entities within Indonesian text.",https://doi.org/10.1109/IALP.2016.7876005 (2016),,
5672,Indonesian,Indonesian News Sentences,Text,Summarization,"The Indonesian News Sentences dataset is utilized for multi-document summarization and semantic role labeling. Researchers apply semantic graph techniques and focus on syntactic and semantic structures to generate summarization templates. This dataset enables the analysis and synthesis of Indonesian news articles, enhancing the accuracy and relevance of automated summarization systems.",https://doi.org/10.1109/ICOICT.2016.7571935 (2016),,https://doi.org/10.1109/ISITIA59021.2023.10221008 (2023)
5676,Indonesian,Indonesian sentiment dictionary,Text,Sentiment Analysis,"The Indonesian sentiment dictionary is used to label datasets with sentiment scores, primarily for developing and applying lexicon-based techniques in Indonesian sentiment analysis. This dataset enables researchers to focus on the nuances of the Indonesian language, enhancing the accuracy of sentiment classification in text data.",https://doi.org/10.1109/IALP.2017.8300625 (2017),https://huggingface.co/datasets/SEACrowd/inset_lexicon,https://doi.org/10.29207/resti.v7i3.4726 (2023)
5677,Indonesian,Indonesian sentiment lexicon,Text,Sentiment Analysis,"The Indonesian sentiment lexicon dataset is used to calculate the frequency of sentiment words in Indonesian text, primarily for sentiment analysis in opinion mining. Researchers employ this dataset to quantify positive, negative, and neutral sentiments, enabling them to analyze public opinions and attitudes in various contexts. This lexicon facilitates the identification and measurement of sentiment frequencies, enhancing the accuracy of sentiment analysis tasks.",https://doi.org/10.1109/CDAN.2016.7570949 (2016),,https://doi.org/10.1109/ISITIA.2017.8124100 (2017)
5678,Indonesian,Indonesian short answer dataset,Text,Automatic Essay Scoring,"The Indonesian short answer dataset is used to assess short answers and predict scores in Indonesian, primarily through the application of Word2Vec embeddings and a Siamese Manhattan LSTM model for automatic essay scoring. This dataset enables researchers to develop and evaluate algorithms that can automatically score short answers, enhancing the efficiency and consistency of educational assessments.",https://doi.org/10.1109/ICECCE52056.2021.9514223 (2021),,https://doi.org/10.18280/ria.370502 (2023)
5683,Indonesian,Indonesian Text Morphing Viseme,Multimodal,Speech Recognition/Understanding,"The Indonesian Text Morphing Viseme dataset is used to enhance pronunciation learning in Indonesian visual speech synthesis. It combines morphing viseme and syllable concatenation techniques to improve the accuracy and naturalness of synthesized speech, supporting educational applications in language learning. This dataset enables researchers to develop more effective visual speech models by providing detailed viseme data aligned with syllabic structures.",https://doi.org/10.3991/IJET.V13I08.8084 (2018),,https://doi.org/10.14569/ijacsa.2022.0130950 (2022)
5684,Indonesian,Indonesian Translation of Holy Qur’an,Text,Question Answering,"The Indonesian Translation of Holy Qur’an dataset is used for developing rule-based question answering systems, with a focus on improving performance through semantic annotation. This approach enhances the system's ability to accurately respond to queries by leveraging the structured content of the translation. The dataset's detailed and contextually rich text supports the creation of more sophisticated and context-aware question answering models.",https://doi.org/10.1109/CITSM.2016.7577585 (2016),,https://doi.org/10.1109/ICAICTA59291.2023.10390123 (2023)
5686,Indonesian,Indonesian Treebank in the ParGram Parallel Treebank (ParGramBank),Text,Parsing and Tagging,"The Indonesian Treebank in the ParGram Parallel Treebank (ParGramBank) is used to study Lexical Functional Grammar in Indonesian, focusing on syntactic structures within a limited set of 79 sentences and 433 words. This dataset enables detailed analysis of Indonesian syntax, providing a structured resource for linguistic research. The small, curated size of the dataset facilitates in-depth examination of specific grammatical features and syntactic patterns.",https://www.semanticscholar.org/paper/bd295c8fdf638141cfab227c9692b2fbdc5c2146 (2013),,https://www.semanticscholar.org/paper/68c1f36518e1e4f99197f894adea2284f5b7aca1 (2019)
5687,Indonesian,Indonesian tweet on Twitter sentiment regarding the use of public land transport,Text,Sentiment Analysis,"The dataset 'Indonesian tweet on Twitter sentiment regarding the use of public land transport' is used to analyze sentiment towards public land transport in Indonesia. Researchers employ Support Vector Machine (SVM) for classification, focusing on understanding public opinion and perceptions. This dataset enables the examination of specific issues and sentiments expressed by users, providing insights into the effectiveness and user satisfaction of public transport systems.",https://www.semanticscholar.org/paper/1540afe9197e371b64d157bf3614fcef709ad292 (2015),,https://doi.org/10.1109/ICODSE.2017.8285860 (2017)
5612,Indonesian,Indonesian Tweets,Text,Sentiment Analysis,multi-label hate speech and abusive language detection in the Indonesian Twitter.,https://doi.org/10.18653/v1/W19-3506 (2019),https://github.com/okkyibrohim/id-multi-label-hate-speech-and-abusive-language-detection,https://doi.org/10.1145/3625821 (2023)
5688,Indonesian,Indonesian tweets,Text,Sentiment Analysis,"The 'Indonesian tweets' dataset is used to analyze sentiment towards public figures in Indonesian social media. Researchers employ SVM and Naive Bayes classifiers with a bag-of-words approach to categorize and classify tweets. This methodology helps in understanding public opinion and emotional responses, enabling detailed sentiment analysis in the context of Indonesian social media.",https://www.semanticscholar.org/paper/33b9c2c8411276a7f565a1af8beff509fccd0a9a (2014),,https://doi.org/10.1109/ICODSE.2017.8285860 (2017)
5693,Indonesian,Indonesian voice-to-text data set,Speech,Speech Recognition/Understanding,"The Indonesian voice-to-text dataset is used to train a Time Delay Neural Network Factorization (TDNNF) model for automatic speech recognition. This focuses on enhancing the accuracy of transcribing Indonesian audio, leveraging the dataset's specific characteristics to improve speech recognition performance in the Indonesian language.",https://doi.org/10.1109/ICELTICs50595.2020.9315538 (2020),,https://doi.org/10.14569/IJACSA.2021.0120327 (2021)
5694,Indonesian,Indonesian Wikipedia,Text,Language Modeling,"The Indonesian Wikipedia dataset is primarily used to train BERT-based models, such as I NDO BERT and BERT-Base, by providing large volumes of Indonesian text (ranging from 55M to 90M words). This text, sourced from web and news articles, enhances the models' understanding and representation of the Indonesian language, improving their performance in language-related tasks.; The Indonesian Wikipedia dataset is primarily used to train BERT-Base models, contributing between 55M to 90M words of Indonesian text from web and news sources. This dataset enhances language understanding and representation, specifically supporting the development of I NDO BERT through language modeling. The large volume of text enables robust training, improving the model's performance in various natural language processing tasks.","https://www.semanticscholar.org/paper/2c08e64edebbeafd4e85d68c08ba272a2455f75e (2003), https://www.semanticscholar.org/paper/6aa8282509e14ad793a3a800aca00d079b9913fb (2017)",,https://doi.org/10.18653/V1/2020.COLING-MAIN.66 (2020); https://doi.org/10.18653/v1/2020.aacl-main.60 (2020)
5696,Indonesian,Indonesian Wikipedia dump data,Text,Information Retrieval,"The Indonesian Wikipedia dump data is used to precompute Term Frequency (TF) and Inverse Document Frequency (IDF) tables for information retrieval in Bahasa Indonesia. The dataset focuses on evaluating the impact of stemming techniques on retrieval performance, enabling researchers to optimize search algorithms and improve the accuracy of information retrieval systems in the Indonesian language.",https://www.semanticscholar.org/paper/2c08e64edebbeafd4e85d68c08ba272a2455f75e (2003),,https://doi.org/10.1109/IALP.2018.8629109 (2018)
5697,Indonesian,Indonesian WordNet,Unknown,Lexicon/Dictionary,"The Indonesian WordNet is an ongoing project aimed at developing a lexical database for the Indonesian language. While it is mentioned in various research contexts, no specific usage or application within current studies is described. This indicates that the dataset is primarily in development rather than actively employed in research methodologies or addressing specific research questions.",https://www.semanticscholar.org/paper/bb2ffb3da76c4e7d74288209e49b7a97c16c4f6c (2008),https://github.com/open-language/wordnets,https://doi.org/10.1007/978-3-642-23138-4_8 (2011)
5698,Indonesian,Indonesian WSD,Text,Word Sense Disambiguation,"The Indonesian WSD dataset is used for word sense disambiguation (WSD) in Indonesian, focusing on supervised learning methods. It is automatically collected using the CrossLingual WSD (CLWSD) approach, leveraging WordNet and the parallel corpus GIZA++. This dataset enables researchers to develop and evaluate WSD models specifically tailored for the Indonesian language, enhancing the accuracy of natural language processing tasks in this linguistic context.; The Indonesian WSD dataset is used for word sense disambiguation in Indonesian, focusing on improving supervised learning methods. It is automatically collected using the CrossLingual WSD (CLWSD) approach, leveraging WordNet and the parallel corpus GIZA++. This dataset enables researchers to enhance the accuracy of supervised learning models for Indonesian WSD tasks.",https://www.semanticscholar.org/paper/41713cdd3af12f4fe8e50fee0d71ffb1a904a49e (2018),,https://doi.org/10.48550/arXiv.2212.09648 (2022)
5656,Indonesian,Indonesian-English Code-Mixed Twitter Data,Text,Language Normalization,"The Indonesian-English Code-Mixed Twitter Data dataset is used to analyze and normalize code-mixed tweets, focusing on the use of slang and non-standard language in social media. Researchers employ this dataset to understand linguistic phenomena in multilingual online environments, specifically addressing how users blend Indonesian and English in their tweets. This dataset enables detailed examination of language normalization techniques and the sociolinguistic aspects of code-switching in digital communication.",https://doi.org/10.18653/v1/D19-5554 (2019),,https://doi.org/10.30865/mib.v7i4.6816 (2023)
5661,Indonesian,Indonesian-Javanese code-mixed data,Text,Sentiment Analysis,"The Indonesian-Javanese code-mixed data dataset is utilized for sentiment analysis, particularly in low-resource language contexts. Researchers employ a Sentence BERT pre-trained model and compare lexicon-based and transformer-based approaches with an attention mechanism. This dataset enables the evaluation of these methods, highlighting its relevance in mixed linguistic contexts and facilitating advancements in sentiment analysis for under-resourced languages.",https://doi.org/10.18653/v1/2020.semeval-1.170 (2020),,https://doi.org/10.14569/ijacsa.2023.0141053 (2023)
5699,Indonesian,Indonesia’s PPKM Tweets,Text,Sentiment Analysis,"The 'Indonesia’s PPKM Tweets' dataset is used to analyze public sentiment towards the implementation of PPKM policies in Indonesia. Researchers employ various classification methods for sentiment analysis, comparing their effectiveness. This dataset enables the examination of public reactions and attitudes, providing insights into the social impact of PPKM measures.",https://doi.org/10.34123/icdsos.v2021i1.237 (2022),https://www.kaggle.com/code/mochkholil/ppkm-sentiment-classification/data,https://doi.org/10.1109/ICITISEE57756.2022.10057720 (2022)
